ct,ca,tiempo,tiempo_c
2, 100, 1.01184, 0.445463
4, 100, 0.785866, 0.389759
16, 100, 0.813643, 0.390951
32, 100, 0.77657, 0.396959
64, 100, 0.793406, 0.395737
2, 100, 0.798361, 0.438745
4, 100, 0.785404, 0.389427
16, 100, 0.813294, 0.396356
32, 100, 0.769707, 0.40126
64, 100, 0.816428, 0.388069
2, 100, 0.800102, 0.440489
4, 100, 0.779522, 0.383008
16, 100, 0.772847, 0.391434
32, 100, 0.778703, 0.398951
64, 100, 0.825617, 0.389525
2, 100, 0.802696, 0.641498
4, 100, 0.783648, 0.383499
16, 100, 0.787381, 0.396222
32, 100, 0.767078, 0.400335
64, 100, 0.810327, 0.388966
2, 100, 0.803427, 0.448226
4, 100, 0.794376, 0.38878
16, 100, 0.794822, 0.394224
32, 100, 0.786924, 0.470611
64, 100, 0.810736, 0.392286
2, 100, 1.01834, 0.439684
4, 100, 0.783937, 0.384788
16, 100, 0.810349, 0.390253
32, 100, 0.795064, 0.398738
64, 100, 0.777919, 0.397801
2, 100, 0.801021, 0.441878
4, 100, 0.776939, 0.378605
16, 100, 0.779413, 0.391275
32, 100, 0.794434, 0.403859
64, 100, 0.808527, 0.379739
2, 100, 1.01222, 0.4453
4, 100, 0.774434, 0.385151
16, 100, 0.77255, 0.391624
32, 100, 0.794727, 0.398697
64, 100, 0.795306, 0.390013
2, 100, 1.00932, 0.444047
4, 100, 0.780327, 0.387184
16, 100, 0.774395, 0.39065
32, 100, 0.796683, 0.406326
64, 100, 0.788851, 0.393276
